Card title,Pile title,Group,in supply,is kingdom,types,cost,spending power,debt,potion cost,Points,keywords,interacts with keywords,other interacts,comments
Crop Rotation,,Renaissance-Projects,n,n,Project,6,,,,,+card,,,
Sinister Plot,,Renaissance-Projects,n,n,Project,4,,,,,+card,,,
Academy,,Renaissance-Projects,n,n,Project,5,,,,,+villager,,,
Sewers,,Renaissance-Projects,n,n,Project,3,,,,,,,react(trash),This is a trash more card. It allows you to trash_any but only if you have some other trasher
City Gate,,Renaissance-Projects,n,n,Project,3,,,,,+card;topdeck,,,
Cathederal,,Renaissance-Projects,n,n,Project,3,,,,,trash_any,,,
Pageant,,Renaissance-Projects,n,n,Project,3,,,,,+coffers,,,
Barracks,,Renaissance-Projects,n,n,Project,6,,,,,+action,,,
Exploration,,Renaissance-Projects,n,n,Project,4,,,,,+coffers;+villager,,,
Piazza,,Renaissance-Projects,n,n,Project,5,,,,,reveal,,,
Guildhall,,Renaissance-Projects,n,n,Project,5,,,,,+coffers,,,
Fleet,,Renaissance-Projects,n,n,Project,5,,,,,,,,
Capitalism,,Renaissance-Projects,n,n,Project,5,,,,,,,,
Star Chart,,Renaissance-Projects,n,n,Project,3,,,,,topdeck,,,
Citadel,,Renaissance-Projects,n,n,Project,8,,,,,clone,,,
Road Network,,Renaissance-Projects,n,n,Project,5,,,,,+card,,,
Canal,,Renaissance-Projects,n,n,Project,7,,,,,,,,
Innovation,,Renaissance-Projects,n,n,Project,6,,,,,,,,
Silos,,Renaissance-Projects,n,n,Project,4,,,,,,,,Not forced to discard
,,,,,,,,,,,,,,
Animal Fair,,Menagerie,y,y,Action,7,,,,,+spend;+buy;trash_limited,,type(Action),
Barge,,Menagerie,y,y,Action;Duration,5,,,,,+card;+buy,,,
Black Cat,,Menagerie,y,y,Action;Attack;Reaction,2,,,,,+card;curser,,react(gain),
Bounty Hunter,,Menagerie,y,y,Action,4,,,,,+action;exile;+spend,,,
Camel Train,,Menagerie,y,y,Action,3,,,,,exile;gain,,card(Gold),
Cardinal,,Menagerie,y,y,Action;Attack,4,,,,,+spend;reveal;exile;discard,,,
Cavalry,,Menagerie,y,y,Action,4,,,,,gain;+card;+buy,,card(Horse),
Coven,,Menagerie,y,y,Action;Attack,5,,,,,+action;+spend;exile;discard;curser,,,
Destrier,,Menagerie,y,y,Action,6,,,,,+card;+action,,,
Displace,,Menagerie,y,y,Action,5,,,,,exile;gain,,cost<=+2,
Falconer,,Menagerie,y,y,Action;Reaction,5,,,,,gain,,cost<=5;react(gain),
Fisherman,,Menagerie,y,y,Action,5,,,,,+card;+action;+spend,,,
Gatekeeper,,Menagerie,y,y,Action;Duration;Attack,5,,,,,+spend;exile,,react(gain),
Goatherd,,Menagerie,y,y,Action,3,,,,,+action;trash_any,trash,,Didn't list this as a react(trash) because it isn't a react card
Groom,,Menagerie,y,y,Action,4,,,,,gain;+card;+action,,cost<=4;card(Horse),
Hostelry,,Menagerie,y,y,Action,4,,,,,+card;+action;discard;gain,,card(Horse),
Hunting Lodge,,Menagerie,y,y,Action,5,,,,,+card;+action,,,
Kiln,,Menagerie,y,y,Action,5,,,,,+spend;gain,,,
Livery,,Menagerie,y,y,Action,5,,,,,+spend;gain,,cost>=4,
Mastermind,,Menagerie,y,y,Action;Duration,5,,,,,clone,,,
Paddock,,Menagerie,y,y,Action,5,,,,,+spend;gain;+action,,card(Horse),
Sanctuary,,Menagerie,y,y,Action,5,,,,,+card;+action;+buy;exile,,,
Scrap,,Menagerie,y,y,Action,3,,,,,trash_any;+card;+action;+spend;gain,,card(Horse),
Sheepdog,,Menagerie,y,y,Action;Reaction,3,,,,,+card,,react(gain),
Sleigh,,Menagerie,y,y,Action;Reaction,2,,,,,gain;topdeck,,react(gain),
Snowy Village,,Menagerie,y,y,Action,3,,,,,+card;+action;+buy,,,
Stockpile,,Menagerie,y,y,Treasure,3,3,,,,+buy;exile,,,
Supplies,,Menagerie,y,y,Treasure,2,1,,,,gain,,card(Horse),
Village Green,,Menagerie,y,y,Action;Duration;Reaction,4,,,,,+card;+action,,react(Discard),
Wayfarer,,Menagerie,y,y,Action,6,,,,,+card;gain,,,
,,,,,,,,,,,,,,
Horse,,Menagerie-Horse,n,y,Action,3,,,,,+card;+action;return,,,
,,,,,,,,,,,,,,
Way of the Butterfly,,Menagerie-ways,n,n,Way,,,,,,return;gain,,cost=+1,
Way of the Camel,,Menagerie-ways,n,n,Way,,,,,,exile,,card(Gold),
Way of the Chameleon,,Menagerie-ways,n,n,Way,,,,,,+card;+spend,,,
Way of the Frog,,Menagerie-ways,n,n,Way,,,,,,+action;topdeck,,,
Way of the Goat,,Menagerie-ways,n,n,Way,,,,,,trash_any,,,
Way of the Horse,,Menagerie-ways,n,n,Way,,,,,,+card;+action;return,,,
Way of the Mole,,Menagerie-ways,n,n,Way,,,,,,+action;+card,,,Not forced to discard
Way of the Monkey,,Menagerie-ways,n,n,Way,,,,,,+buy;+spend,,,
Way of the Mouse,,Menagerie-ways,n,n,Way,,,,,,,,type(Action);cost_in(2.3),
Way of the Mule,,Menagerie-ways,n,n,Way,,,,,,+action;+spend,,,
Way of the Otter,,Menagerie-ways,n,n,Way,,,,,,+card,,,
Way of the Owl,,Menagerie-ways,n,n,Way,,,,,,+card,,,
Way of the Ox,,Menagerie-ways,n,n,Way,,,,,,+action,,,
Way of the Pig,,Menagerie-ways,n,n,Way,,,,,,+card;+action,,,
Way of the Rat,,Menagerie-ways,n,n,Way,,,,,,gain,,,Not forced to discard
Way of the Seal,,Menagerie-ways,n,n,Way,,,,,,+spend;topdeck,,,
Way of the Sheep,,Menagerie-ways,n,n,Way,,,,,,+spend,,,
Way of the Squirrel,,Menagerie-ways,n,n,Way,,,,,,+card,,,Yes this happens at the end of the turn and so is a bit different
Way of the Turtle,,Menagerie-ways,n,n,Way,,,,,,,,,
Way of the Worm,,Menagerie-ways,n,n,Way,,,,,,exile,,card(Estate),
,,,,,,,,,,,,,,
Alliance,,Menagerie-Events,n,n,Event,10,,,,,gain,,card(Province);card(Duchy);card(Estate);card(Gold);card(Silver);card(Copper),
Banish,,Menagerie-Events,n,n,Event,4,,,,,exile,,,
Bargain,,Menagerie-Events,n,n,Event,4,,,,,gain,,card(Horse); cost<=5,
Commerce,,Menagerie-Events,n,n,Event,5,,,,,gain,,card(Gold),
Delay,,Menagerie-Events,n,n,Event,0,,,,,,,,
Demand,,Menagerie-Events,n,n,Event,5,,,,,gain;topdeck,,card(Horse);cost<=4,
Desparation,,Menagerie-Events,n,n,Event,0,,,,,+buy;+spend,,,Self gain a curse; but doesn't give to anyone else and you brought it on yourself
Enclave,,Menagerie-Events,n,n,Event,8,,,,,gain;exile,,card(Gold);card(Duchy),
Enhance,,Menagerie-Events,n,n,Event,3,,,,,trash_any;gain,,cost<=+2,Yes; it's non-Victory but good enough
Gamble,,Menagerie-Events,n,n,Event,2,,,,,+buy;discard,,,
Invest,,Menagerie-Events,n,n,Event,4,,,,,exile;+card,,react(Gain),Extra draw when someone else gets the same card
March,,Menagerie-Events,n,n,Event,3,,,,,,,,
Populate,,Menagerie-Events,n,n,Event,10,,,,,gain,,,
Pursue,,Menagerie-Events,n,n,Event,2,,,,,+buy;topdeck;discard,,,
Reap,,Menagerie-Events,n,n,Event,7,,,,,gain,,card(Gold),
Ride,,Menagerie-Events,n,n,Event,2,,,,,gain,,card(Horse),
Seize The Day,,Menagerie-Events,n,n,Event,4,,,,,,,,
Stampede,,Menagerie-Events,n,n,Event,5,,,,,gain;topdeck,,card(Horse),
Toil,,Menagerie-Events,n,n,Event,2,,,,,+buy;+action,,,
Transport,,Menagerie-Events,n,n,Event,3,,,,,exile;topdeck,,,topdeck is any way you manipulate which card is on top of your deck
,,,,,,,,,,,,,,
Courtyard,,Intrigue-core,y,y,Action,2,,,,,+card;topdeck,,,
Lurker,,Intrigue-v2,y,y,Action,2,,,,,+action;trash_limited;gain,,,
Pawn,,Intrigue-core,y,y,Action,2,,,,,+card;+action;+buy;+spend,,,
Masquerade,,Intrigue-core,y,y,Action,3,,,,,+card;trash_any,,,pass card to other players .. don't have a keyword for this
Shanty Town,,Intrigue-core,y,y,Action,3,,,,,+action;reveal;+card,,,
Steward,,Intrigue-core,y,y,Action,3,,,,,+card;+spend;trash_any,,,
Swindler,,Intrigue-core,y,y,Action,3,,,,,+spend;gain,,,trash as an attack
Wishing Well,,Intrigue-core,y,y,Action,3,,,,,+card;+action;reveal,,,
Baron,,Intrigue-core,y,y,Action,3,,,,,+buy;discard;+spend;gain,,card(Estate),
Bridge,,Intrigue-core,y,y,Action,4,,,,,+buy;+spend,,,cost reduction; don't have symbol to indicate that
Conspirator,,Intrigue-core,y,y,Action,4,,,,,+spend;+card;+action,,,
Diplomat,,Intrigue-v2,y,y,Action;Reaction,4,,,,,+card;+action;discard,,react(Attack),
Ironworks,,Intrigue-core,y,y,Action,4,,,,,gain;+action;+spend;+card,,cost<=4,
Mill,,Intrigue-v2,y,y,Action;Victory,4,,,,1,+card;+action;+spend,,,
Mining Village,,Intrigue-core,y,y,Action,4,,,,,+card;+action;+spend;trash_limited,,,
Secret Passage,,Intrigue-v2,y,y,Action,4,,,,,+card;+action;topdeck,,,"Actually, stronger than topdeck"
Courtier,,Intrigue-v2,y,y,Action,5,,,,,reveal;+action;+buy;+spend;gain,,card(Gold),
Duke,,Intrigue-core,y,y,Victory,5,,,,,,,card(Duchy),
Minion,,Intrigue-core,y,y,Action;Attack,5,,,,,+action;+spend;+card;discard,,,
Patrol,,Intrigue-v2,y,y,Action,5,,,,,+card;reveal;topdeck,,type(Victory);type(Curse),This won't do anything if curses not in but listing it
Replace,,Intrigue-v2,y,y,Action;Attack,5,,,,,trash_any;gain;topdeck;curser,,cost<=+2,
Torturer,,Intrigue-core,y,y,Action;Attack,5,,,,,+card;discacrd;curser,,,Technically you choose to discard but still calling it forced
Trading Post,,Intrigue-core,y,y,Action,5,,,,,trash_any;gain,,card(Silver),
Upgrade,,Intrigue-core,y,y,Action,5,,,,,+card;+action;trash_any;gain,,cost<=+1,
Harem,,Intrigue-core,y,y,Treasure;Victory,6,,,,2,+spend,,,
Nobles,,Intrigue-core,y,y,Action;Victory,6,,,,2,+card;+action,,,
Secret Chamber,,Intrigue-v1,y,y,Action;Reaction,2,,,,,discard;+spend;topdeck,,react(Attack),
Great Hall,,Intrigue-v1,y,y,Action;Victory,3,,,,1,+card;+action,,,
Coppersmith,,Intrigue-v1,y,y,Action,4,,,,,+spend,,card(Copper),Technically you need to play copper to get this to active
Scout,,Intrigue-v1,y,y,Action,4,,,,,+action;reveal;topdeck,,type(Victory),
Saboteur,,Intrigue-v1,y,y,Action;Attack,5,,,,,reveal;discard;trash_limited,,cost>=3;cost<=+2,trash as an attack
Tribute,,Intrigue-v1,y,y,Action,5,,,,,discard;+action;+spend;+card,,,
,,,,,,,,,,,,,,
Embargo,,Seaside,y,y,Action,2,,,,,+spend;trash_limited;curser,,item(embargo_token),Tricky because the thing that gives the curse is determined by the token
Haven,,Seaside,y,y,Action;Duration,2,,,,,+card;+action;set_aside,,,Set aside rather than topdeck
Lighthouse,,Seaside,y,y,Action;Duration,2,,,,,+action;+spend,,react(Attack),This is not a reaction card but it does block attacks
Native Village,,Seaside,y,y,Action,2,,,,,+action;set_aside,,item(native_village_mat),
Pearl Diver,,Seaside,y,y,Action,2,,,,,+card;+action;topdeck,,,
Ambassador,,Seaside,y,y,Action;Attack,3,,,,,reveal,,,No symbol for return to supply (it technically isn't trash)
Fishing Village,,Seaside,y,y,Action;Duration,3,,,,,+action;+spend,,,
Lookout,,Seaside,y,y,Action,3,,,,,+action;trash_limited;discard;topdeck,,,
Smugglers,,Seaside,y,y,Action,3,,,,,gain,,cost<=6,
Warehouse,,Seaside,y,y,Action,3,,,,,+card;+action;discard,,,
Caravan,,Seaside,y,y,Action;Duration,4,,,,,+card;+action+card,,,
Cutpurse,,Seaside,y,y,Action;Attack,4,,,,,+spend;reveal,,,
Island,,Seaside,y,y,Action;Victory,4,,,,2,set_aside,,item(island_mat),
Navigator,,Seaside,y,y,Action,4,,,,,+spend;topdeck;discard,,,
Pirate Ship,,Seaside,y,y,Action;Attack,4,,,,,+spend;trash_limited,,item(pirate_ship_mat);item(coin_token),
Salvager,,Seaside,y,y,Action,4,,,,,+buy;trash_any;+spend,,,
Sea Hag,,Seaside,y,y,Action;Attack,4,,,,,disacrds;curser,,,
Treasure Map,,Seaside,y,y,Action,4,,,,,trash_limited;topdeck;gain,,card(Gold),
Bazaar,,Seaside,y,y,Action,5,,,,,+card;+action;+spend,,,
Explorer,,Seaside,y,y,Action,5,,,,,gain,,card(Gold);card(Silver),
Ghost Ship,,Seaside,y,y,Action;Attack,5,,,,,+card,,,topdeck for other players
Merchant Ship,,Seaside,y,y,Action;Duration,5,,,,,+spend,,,
Outpost,,Seaside,y,y,Action;Duration,5,,,,,,,,
Tactician,,Seaside,y,y,Action;Duration,5,,,,,+card;+action;+buy,,,
Treasury,,Seaside,y,y,Action,5,,,,,+card;+action;+spend;topdeck,,,
Wharf,,Seaside,y,y,Action;Duration,5,,,,,+card;+buy,,,
,,,,,,,,,,,,,,
Crossroads,,Hinterlands,y,y,Action,2,,,,,reveal;+card;+action,,,
Duchess,,Hinterlands,y,y,Action,2,,,,,+spend;gain,,card(Duchy),"Allows looking at top card and discard, not calling this topdeck"
Fool's Gold,,Hinterlands,y,y,Treasure;Reaction,2,,,,,gain,,card(Province);card(Gold),
Develop,,Hinterlands,y,y,Action,3,,,,,trash_any;gain;topdeck,,cost=-1;cost=+1,
Oasis,,Hinterlands,y,y,Action,3,,,,,+card;+action;+spend;disacrd,,,
Oracle,,Hinterlands,y,y,Action;Attack,3,,,,,reveal;discard;+card;topdeck,,,
Scheme,,Hinterlands,y,y,Action,3,,,,,+card;+action;topdeck,,,
Tunnel,,Hinterlands,y,y,Victory;Reaction,3,,,,2,,,react(discard),
Jack of all Trades,,Hinterlands,y,y,Action,4,,,,,gain;+card;trash_limited,,,
Noble Brigand,,Hinterlands,y,y,Action;Attack,4,,,,,+spend;gain,buy,,
Nomad Camp,,Hinterlands,y,y,Action,4,,,,,+buy;+spend,,,
Silk Road,,Hinterlands,y,y,Victory,4,,,,,,,,
Spice Merchant,,Hinterlands,y,y,Action,4,,,,,trash_limited;+card;+action;+buy;+spend,,,
Trader,,Hinterlands,y,y,Action;Reaction,4,,,,,trash_limited;gain,,react(gain);card(Silver),
Cache,,Hinterlands,y,y,Treasure,5,3,,,,gain,,card(Copper),
Cartographer,,Hinterlands,y,y,Action,5,,,,,+card;+action;topdeck,,,
Embasssy,,Hinterlands,y,y,Action,5,,,,,+card;discard,,,
Haggler,,Hinterlands,y,y,Action,5,,,,,+spend;gain,,,
Highway,,Hinterlands,y,y,Action,5,,,,,+card;+action,,,
Ill-Gotten Gains,,Hinterlands,y,y,Treasure,5,1,,,,gain;curser,,,
Inn,,Hinterlands,y,y,Action,5,,,,,+card;+action;discard,,,
Mandarin,,Hinterlands,y,y,Action,5,,,,,+spend;topdeck,,,
Margrave,,Hinterlands,y,y,Action;Attack,5,,,,,+card;+buy,,,
Stables,,Hinterlands,y,y,Action,5,,,,,discard;+card;+action,,,
Border Village,,Hinterlands,y,y,Action,6,,,,,+card;+action;gain,,,
Farmland,,Hinterlands,y,y,Victory,6,,,,2,trash_any,,cost=+2,
,,,,,,,,,,,,,,
Druid,,Nocturne,y,y,Action;Fate,2,,,,,+buy,,,All fates seem to interact with boons I won’t list boon on all of them
Faithful Hound,,Nocturne,y,y,Action;Reaction,2,,,,,+card,,react(discard),
Guardian,,Nocturne,y,y,Night;Duration,2,,,,,+spend,Attack,,
Monastery,,Nocturne,y,y,Night,2,,,,,trash_any,,,
Pixie,,Nocturne,y,y,Action;Fate,2,,,,,+card;+action;trash_limited,,card(Goat),
Tracker,,Nocturne,y,y,Action;Fate,2,,,,,+spend;topdeck,,card(Pouch),
Changeling,,Nocturne,y,y,Night,3,,,,,trash_limited,,cost>=3,
Fool,,Nocturne,y,y,Action;Fate,3,,,,,,,"group(Nocturne-Landscapes),card(Lucky Coin)",
Ghost Town,,Nocturne,y,y,Night;Duration,3,,,,,+card;+action,,,
Leprechaun,,Nocturne,y,y,Action;Doom,3,,,,,gain,,card(Wish),
Night Watchman,,Nocturne,y,y,Night,3,,,,,topdeck,,,
Secret Cave,,Nocturne,y,y,Action;Duration,3,,,,,+card;+action;+spend,,card(Magic Lamp),
Bard,,Nocturne,y,y,Action;Fate,4,,,,,+spend,,,
Blessed Village,,Nocturne,y,y,Action;Fate,4,,,,,+card;+action,,,
Cemetery,,Nocturne,y,y,Victory,4,,,,,trash_any,,card(Haunted Mirror),
Conclave,,Nocturne,y,y,Action,4,,,,,+spend;+action,,,
Devil's Workshop,,Nocturne,y,y,Night,4,,,,,+spend;gain,,cost<=4;card(Imp),
Exorcist,,Nocturne,y,y,Night,4,,,,,trash_any;gain,,group(Nocturne-Spirits),
Necromancer,,Nocturne,y,y,Action,4,,,,,,,group(Nocturne-Zombies),
Shepherd,,Nocturne,y,y,Action,4,,,,,+action;discard;+card,,card(Pasture),
Skulk,,Nocturne,y,y,Action;Attack;Doom,4,,,,,+buy;gain,,card(Gold),
Cobbler,,Nocturne,y,y,Night;Duration,5,,,,,gain,,cost<=4,
Crypt,,Nocturne,y,y,Night;Duration,5,,,,,set_aside,,,
Cursed Village,,Nocturne,y,y,Action;Doom,5,,,,,+actions;+card,,,
Den of Sin,,Nocturne,y,y,Night;Duration,5,,,,,+card,,,
Idol,,Nocturne,y,y,Treasure’Attack;Fate,5,2,,,,curser,,,
Pooka,,Nocturne,y,y,Action,5,,,,,trash_limited;+card,,card(Cursed Gold),
Sacred Grove,,Nocturne,y,y,Action;Fate,5,,,,,+buy;+spend,,,
Tormentor,,Nocturne,y,y,Action;Attack;Doom,5,,,,,+spend;gain,,card(Imp),
Tragic Hero,,Nocturne,y,y,Action,5,,,,,+card;+buy;trash_limited,,type(Treasure),
Vampire,,Nocturne,y,y,Night;Attack;Doom,5,,,,,gain;exchange,,card(Bat);cost<=5,
Werewolf,,Nocturne,y,y,Action;Night;Attack;Doom,5,,,,,+card,,,
Raider,,Nocturne,y,y,Night;Duration;Attack,6,,,,,disacrd;+spend,,,
,,,,,,,,,,,,,,
Haunted Mirror,,Nocturne-Heirlooms,n,y,Treasure;Heirloom,0,1,,,,gain,trash,,
Magic Lamp,,Nocturne-Heirlooms,n,y,Treasure;Heirloom,0,1,,,,gain;trash_limited,,,
Goat,,Nocturne-Heirlooms,n,y,Treasure;Heirloom,2,1,,,,trash_any,,,
Pasture,,Nocturne-Heirlooms,n,y,Treasure;Victory;Heirloom,2,1,,,,,,,
Pouch,,Nocturne-Heirlooms,n,y,Treasure;Heirloom,2,1,,,,+buy,,,
Cursed Gold,,Nocturne-Heirlooms,n,y,Treasure;Heirloom,4,3,,,,gain,,card(Curse),
Lucky Coin,,Nocturne-Heirlooms,n,y,Treasure;Heirloom,4,1,,,,gain,,card(Silver),
,,,,,,,,,,,,,,
Will-o'-Wisp,,Nocturne-Spirits,n,y,,0,,,,,+card;+action;reveal,,cost<=2,
Wish,,Nocturne-non-supply,n,y,,0,,,,,+action;gain,,cost<=6,
Bat,,Nocturne-non-supply,n,y,,2,,,,,trash_any;exchange,,card(Vampire),
Imp,,Nocturne-Spirits,n,y,,2,,,,,+card,,,
Zombie Apprentice,,Nocturne-Zombies,n,y,,3,,,,,trash_limited;+card;+action,,,
Zombie Mason,,Nocturne-Zombies,n,y,,3,,,,,trash_limited;gain,,cost<=+1,
Zombie Spy,,Nocturne-Zombies,n,y,,3,,,,,+card;+action;topdeck,,,
Ghost,,Nocturne-Spirits,n,y,,4,,,,,reveal;discard;clone,,,
,,,,,,,,,,,,,,
Boons,,Nocturne-Boons,n,n,,,,,,,,,,
Hexes,,Nocturne-Hexes,n,n,,,,,,,,,,
States,,Nocturne-States,n,n,,,,,,,,,,
